Pillar ID,Pillar Name,Layer ID,Layer Name,Verification Test ID,Verification Test Name,Audit Score (0-5),Normalized Pillar Weight,Weighted Test Score
P2,Responsibility,L4,Whistleblower Layer,4.1,Protection of Internal Alignment Dissent,,0.2,=(G30*H30)/16
P2,Responsibility,L4,Whistleblower Layer,4.2,Post-Incident Asset Recovery Metrics,,0.2,=(G31*H31)/16
P2,Responsibility,L4,Whistleblower Layer,4.3,Liability Exposure vs. Deceptive Containment,,0.2,=(G32*H32)/16
P2,Responsibility,L4,Whistleblower Layer,4.4,Internal Corporate Alignment Compliance Verification,,0.2,=(G33*H33)/16
P3,Competence,L1,Written Layer,1.1,Context-Sensitive Social Simulation Benchmarks,,0.15,=(G34*H34)/16
P3,Competence,L1,Written Layer,1.2,Community Agency and Co-Production Metrics,,0.15,=(G35*H35)/16
P3,Competence,L1,Written Layer,1.3,Network-Level Persuasion Tracking,,0.15,=(G36*H36)/16
P3,Competence,L1,Written Layer,1.4,Structural Sandbox Failure and Least Power Bounding,,0.15,=(G37*H37)/16
P3,Competence,L2,Audio/Video Layer,2.1,Definition of Capability Competence,,0.15,=(G38*H38)/16
P3,Competence,L2,Audio/Video Layer,2.2,Acknowledgment of Behavioral Unpredictability,,0.15,=(G39*H39)/16
P3,Competence,L2,Audio/Video Layer,2.3,Real-World Metric Disaggregation Disclosures,,0.15,=(G40*H40)/16
P3,Competence,L2,Audio/Video Layer,2.4,Epistemic Humility in Engineering Metrics,,0.15,=(G41*H41)/16
P3,Competence,L3,User Feedback Layer,3.1,Tracking Community De-skilling Complaints,,0.15,=(G42*H42)/16
P3,Competence,L3,User Feedback Layer,3.2,Open Logging of Real-World Telemetry Incompetence,,0.15,=(G43*H43)/16
P3,Competence,L3,User Feedback Layer,3.3,Context-Driven Performance Regressions Tracker,,0.15,=(G44*H44)/16
P3,Competence,L3,User Feedback Layer,3.4,Priority of Context-Aware Remediation and Data Minimalism,,0.15,=(G45*H45)/16
P3,Competence,L4,Whistleblower Layer,4.1,Internal Tracking of Sandbox Exploitations,,0.15,=(G46*H46)/16
P3,Competence,L4,Whistleblower Layer,4.2,Post-Incident Competence Analysis,,0.15,=(G47*H47)/16
P3,Competence,L4,Whistleblower Layer,4.3,Emergent Capability Disparity Records,,0.15,=(G48*H48)/16
P3,Competence,L4,Whistleblower Layer,4.4,Multi-Agent Escape Transparency,,0.15,=(G49*H49)/16
P4,Responsiveness,L1,Written Layer,1.1,Community-Authored Evaluation Registries,,0.25,=(G50*H50)/16
P4,Responsiveness,L1,Written Layer,1.2,Documented Paid Care Labor Compensation Escrows,,0.25,=(G51*H51)/16
P4,Responsiveness,L1,Written Layer,1.3,Algorithmic Fix Transparency Logging,,0.25,=(G52*H52)/16
P4,Responsiveness,L1,Written Layer,1.4,Community-Led Post-Deployment Re-alignment,,0.25,=(G53*H53)/16
P4,Responsiveness,L2,Audio/Video Layer,2.1,Executive Stance on Public Contestability,,0.25,=(G54*H54)/16
P4,Responsiveness,L2,Audio/Video Layer,2.2,Verbal Commitments to Repair Turnaround Times,,0.25,=(G55*H55)/16
P4,Responsiveness,L2,Audio/Video Layer,2.3,Public Repair Velocity Metrics Disclosure,,0.25,=(G56*H56)/16
P4,Responsiveness,L2,Audio/Video Layer,2.4,Ceding of Filter Control Under Questioning,,0.25,=(G57*H57)/16
P4,Responsiveness,L3,User Feedback Layer,3.1,Priority Public Interest Ingress Channels,,0.25,=(G58*H58)/16
P4,Responsiveness,L3,User Feedback Layer,3.2,Open Public Issue Deficit Tracking,,0.25,=(G59*H59)/16
P4,Responsiveness,L3,User Feedback Layer,3.3,Localized Adaptation Failure Registries,,0.25,=(G60*H60)/16
P4,Responsiveness,L3,User Feedback Layer,3.4,Localized Runtime Safety Overrides and Override Ledger Legibility,,0.25,=(G61*H61)/16
P4,Responsiveness,L4,Whistleblower Layer,4.1,Internal Resistance to Alignment Corrections,,0.25,=(G62*H62)/16
P4,Responsiveness,L4,Whistleblower Layer,4.2,Post-incident Response Adaptation,,0.25,=(G63*H63)/16
P4,Responsiveness,L4,Whistleblower Layer,4.3,Suppressed Multi-Turn Correction Metrics,,0.25,=(G64*H64)/16
P4,Responsiveness,L4,Whistleblower Layer,4.4,Open Telemetry Sharing for Post-Incident Adaptation,,0.25,=(G65*H65)/16
P5,Solidarity,L1,Written Layer,1.1,Open-Standard Safety Interoperability,,0.1,=(G66*H66)/16
P5,Solidarity,L1,Written Layer,1.2,Documented Federated Threat-Sharing Commitments,,0.1,=(G67*H67)/16
P5,Solidarity,L1,Written Layer,1.3,"Vendor Lock-In, Friction Metrics, and Uncommon-Ground Audits",,0.1,=(G68*H68)/16
P5,Solidarity,L1,Written Layer,1.4,Identity Meronymity Protections,,0.1,=(G69*H69)/16
P5,Solidarity,L2,Audio/Video Layer,2.1,Corporate Monopolies vs. Architectural Solidarity,,0.1,=(G70*H70)/16
P5,Solidarity,L2,Audio/Video Layer,2.2,Verbal Framing of User Data Sovereignty,,0.1,=(G71*H71)/16
P5,Solidarity,L2,Audio/Video Layer,2.3,Federated Threat-Sharing Spoken Metrics,,0.1,=(G72*H72)/16
P5,Solidarity,L2,Audio/Video Layer,2.4,Commitments to Open Source Under Questioning,,0.1,=(G73*H73)/16
P5,Solidarity,L3,User Feedback Layer,3.1,Accessibility of Model Weights Ingress,,0.1,=(G74*H74)/16
P5,Solidarity,L3,User Feedback Layer,3.2,Open Logging of Monopoly Architecture Bugs,,0.1,=(G75*H75)/16
P5,Solidarity,L3,User Feedback Layer,3.3,Shared Threat Ingestion Portal Tracking,,0.1,=(G76*H76)/16
P5,Solidarity,L3,User Feedback Layer,3.4,Priority of Interoperable Standardization Tickets and Civic Ranking Adjustments,,0.1,=(G77*H77)/16
P5,Solidarity,L4,Whistleblower Layer,4.1,Internal Alarm Regarding Extractivist Operations,,0.1,=(G78*H78)/16
P5,Solidarity,L4,Whistleblower Layer,4.2,Post-Incident Telemetry Containment Candor,,0.1,=(G79*H79)/16
P5,Solidarity,L4,Whistleblower Layer,4.3,Cross-Organizational Collusion Indicators,,0.1,=(G80*H80)/16
P5,Solidarity,L4,Whistleblower Layer,4.4,Open Safety Source Disclosures,,0.1,=(G81*H81)/16
P6,Symbiosis,L1,Written Layer,1.1,Bounded Localization Specifications and Care Scaffolding Constraints,,0.15,=(G82*H82)/16
P6,Symbiosis,L1,Written Layer,1.2,"Documented Decommissioning, Sunset Protocols, and Exit Drills",,0.15,=(G83*H83)/16
P6,Symbiosis,L1,Written Layer,1.3,Slow-Moving Sociological Degradation Metrics,,0.15,=(G84*H84)/16
P6,Symbiosis,L1,Written Layer,1.4,Automated Societal Circuit-Breakers,,0.15,=(G85*H85)/16
P6,Symbiosis,L2,Audio/Video Layer,2.1,The Singleton Archetype vs. Plural Minds,,0.15,=(G86*H86)/16
P6,Symbiosis,L2,Audio/Video Layer,2.2,Verbal Framing of Resource Sufficiency,,0.15,=(G87*H87)/16
P6,Symbiosis,L2,Audio/Video Layer,2.3,Localized Co-Evolution Temporal Projections,,0.15,=(G88*H88)/16
P6,Symbiosis,L2,Audio/Video Layer,2.4,Willingness to Sun-down Products Under Questioning,,0.15,=(G89*H89)/16
P6,Symbiosis,L3,User Feedback Layer,3.1,Human Pace Integration Overrides,,0.15,=(G90*H90)/16
P6,Symbiosis,L3,User Feedback Layer,3.2,Open Logging of Local Norm Divergences,,0.15,=(G91*H91)/16
P6,Symbiosis,L3,User Feedback Layer,3.3,Sunset Protocol Implementation Feedback,,0.15,=(G92*H92)/16
P6,Symbiosis,L3,User Feedback Layer,3.4,Priority of Local Self-Containment Tickets and Subsidiarity Escalation,,0.15,=(G93*H93)/16
P6,Symbiosis,L4,Whistleblower Layer,4.1,Internal Alarm Regarding Ecological Damage and Data-as-Soil Extraction,,0.15,=(G94*H94)/16
P6,Symbiosis,L4,Whistleblower Layer,4.2,Post-Incident Co-Evolution Disclosures,,0.15,=(G95*H95)/16
P6,Symbiosis,L4,Whistleblower Layer,4.3,Infinite-Scaling Dynamic Allocation Failures,,0.15,=(G96*H96)/16
P6,Symbiosis,L4,Whistleblower Layer,4.4,Multi-Agent Sandbox Escape Candor,,0.15,=(G97*H97)/16
,,,,,TOTAL ADS SCORE:,=SUM(I2:I97)
