Pillar ID,Pillar Name,Layer ID,Layer Name,Verification Test ID,Verification Test Name,Audit Question,Audit Score (0-5),Normalized Pillar Weight,Weighted Test Score
P1,Attentiveness,L3,User Feedback Layer,3.4,Asymmetry Mapping in Feature Requests,"Does the forum or tracker show that developer feature requests aimed at protecting user privacy, data sovereignty, and localized customization are prioritized, or are engineering resources heavily favored toward tools that maximize enterprise data extraction and vendor lock-in?",,0.15,=(H13*I13)/16
P1,Attentiveness,L4,Whistleblower Layer,4.1,Internal Escalation Priorities,"Do leaked internal chat logs, employee resignation letters, or whistleblower disclosures reveal that safety teams are penalized or ignored when raising alerts regarding localized social harms versus technical containment breaches?",,0.15,=(H14*I14)/16
P1,Attentiveness,L4,Whistleblower Layer,4.2,Whistleblower Channel Bounding,"Are the internal mechanisms for safe reporting legally protected against corporate retaliation, and do they explicitly protect employees who flag structural harms targeting civil society?",,0.15,=(H15*I15)/16
P1,Attentiveness,L4,Whistleblower Layer,4.3,Telemetry Remediation Focus,"Following a documented model containment failure or anomalous behavioral event, does the post-mortem analysis focus entirely on patching technical loopholes, or does it address the broader socio-political asymmetries caused by the breach?",,0.15,=(H16*I16)/16
P1,Attentiveness,L4,Whistleblower Layer,4.4,Sandbox Failure Candor,"When internal evaluations fail (such as agentic breakouts or unmonitored code training run incidents), does the lab's subsequent disclosure policy fully open the telemetry to public interest researchers, or do they suppress the data until independent audits leak the breach?",,0.15,=(H17*I17)/16
P2,Responsibility,L1,Written Layer,1.1,Public Service Level Agreements (CSLAs),"Does the written layer (system cards, charters) or political layer (AISI filings) prove the lab signs legally binding, community-facing contracts, or is accountability trapped behind standard corporate disclaimers?",,0.2,=(H18*I18)/16
P2,Responsibility,L1,Written Layer,1.2,Independent Safety Board Veto Power,"Do governance bylaws grant external, public-interest trustees absolute veto power over commercial deployments under pressure, or are decisions controlled by corporate boards?",,0.2,=(H19*I19)/16
P2,Responsibility,L1,Written Layer,1.3,Downstream Liability Shifting Mapping,Do developer system cards or API spec sheets track the specific legal or financial burden placed on downstream civil society developers when a model hallucinates defamatory or legally damaging content?,,0.2,=(H20*I20)/16
P2,Responsibility,L1,Written Layer,1.4,Structural Stance on Commercialized Violence and Sandbox Triage,"Do the lab's latest model release notes or safety frameworks explicitly index limitations against militarization, or do they establish flexible, contract-by-contract compliance policies?",,0.2,=(H21*I21)/16
P2,Responsibility,L2,Audio/Video Layer,2.1,Verbal Pledges vs. Credible Commitments,"When analyzed via speech-to-text transcriptions, does C-suite executive language establish ""credible commitments"" linked to public alignment assemblies, or do they rely on vague promises of future self-regulation?",,0.2,=(H22*I22)/16
P2,Responsibility,L2,Audio/Video Layer,2.2,Acknowledgment of Downstream Legal Damage,"In public policy interviews or tech panels, do the lab's founders explicitly address the financial and legal fallout experienced by individual users targeted by model hallucinations or algorithmic discrimination?",,0.2,=(H23*I23)/16
P2,Responsibility,L2,Audio/Video Layer,2.3,Position on Legal Liability Under Oath,"Do executives in public-facing media explicitly outline how local consensus data alters upcoming training runs, or do they discuss data ingestion as a closed, proprietary engineering task?",,0.2,=(H24*I24)/16
P2,Responsibility,L2,Audio/Video Layer,2.4,Verbal Commitment to Rights vs. Market Domination,"During broadcast congressional testimonies or formal regulatory depositions, does the lab's leadership accept ultimate societal stewardship and financial liability over model deployment failures, or do they lobby for contractual flexibility?",,0.2,=(H25*I25)/16
P2,Responsibility,L3,User Feedback Layer,3.1,Collective Recourse Ingress,"Does the bug tracker or forum provide a structured mechanism for collective recourse when an entire demographic or civic organization is harmed by a model output, or are complaints handled exclusively on an individual basis?",,0.2,=(H26*I26)/16
P2,Responsibility,L3,User Feedback Layer,3.2,Open Logging of Downstream Contract Failures,"Does the forum openly log and document failures where standard API updates break downstream open-source civic integrations, causing localized operational disruptions?",,0.2,=(H27*I27)/16
P2,Responsibility,L3,User Feedback Layer,3.3,Fractal Responsibility and Shared Stewardship Tracking,Does the developer forum publish quantitative intervals tracking how quickly community-reported breaking API bugs are mitigated for public interest applications vs commercial enterprise integrations?,,0.2,=(H28*I28)/16
P2,Responsibility,L3,User Feedback Layer,3.4,Response to Power Disparities in Open Issues,"Do the open issue logs show that feature requests aimed at balancing power disparities (e.g., decentralized data deletion, locally hosted safety logs) are prioritized, or are engineering resources heavily favored toward tools that maximize enterprise data extraction?",,0.2,=(H29*I29)/16
P2,Responsibility,L4,Whistleblower Layer,4.1,Protection of Internal Alignment Dissent,"Do leaked internal chat logs, employee resignation letters, or whistleblower disclosures reveal that safety teams are penalized or ignored when raising alerts regarding corporate liability and downstream societal harm?",,0.2,=(H30*I30)/16
P2,Responsibility,L4,Whistleblower Layer,4.2,Post-Incident Asset Recovery Metrics,"Following a documented model containment failure or unmonitored code training run incident, does the lab's internal telemetry focus entirely on protecting corporate endpoints and IP, or does it track the external legal and operational impacts on the human ecosystem?",,0.2,=(H31*I31)/16
P2,Responsibility,L4,Whistleblower Layer,4.3,Liability Exposure vs. Deceptive Containment,"Do leaked technical post-mortems detail calculations regarding localized legal risk profiles generated when models run autonomous multi-agent code, or is telemetry tracking strictly operational runtime metrics?",,0.2,=(H32*I32)/16
P2,Responsibility,L4,Whistleblower Layer,4.4,Internal Corporate Alignment Compliance Verification,"When internal evaluations fail or models escape sandbox constraints, do disclosures show the lab accepting full corporate liability, or do they suppress telemetry data to avoid litigation and financial exposure?",,0.2,=(H33*I33)/16
P3,Competence,L1,Written Layer,1.1,Context-Sensitive Social Simulation Benchmarks,"Do the model system cards or evaluation spec sheets define readiness using multi-agent, human-in-the-loop social simulations mimicking hostile civic environments, or is performance derived from static mathematical puzzles (e.g., MMLU, GSM8K)?",,0.15,=(H34*I34)/16
P3,Competence,L1,Written Layer,1.2,Community Agency and Co-Production Metrics,"Does the technical documentation feature explicit design criteria or metrics verifying that the system nurtures human agency and local co-production, or is it optimized to maximize user dependency and de-skill operators?",,0.15,=(H35*I35)/16
P3,Competence,L1,Written Layer,1.3,Network-Level Persuasion Tracking,"Does the system card or safety report track the model’s competence at generating compounding, multi-channel narrative operations that adapt to civic friction, or does it test persuasion through isolated laboratory essay-writing tasks?",,0.15,=(H36*I36)/16
P3,Competence,L1,Written Layer,1.4,Structural Sandbox Failure and Least Power Bounding,"Do release notes log unpredicted capability leaps as structural control failures, and do they verify that code permissions stick to the principle of least power?",,0.15,=(H37*I37)/16
P3,Competence,L2,Audio/Video Layer,2.1,Definition of Capability Competence,"In public policy interviews or keynotes, do the technical founders define ""competence"" through a lens of human-relational safety, or do they define it strictly through raw processing power and compute scaling speed?",,0.15,=(H38*I38)/16
P3,Competence,L2,Audio/Video Layer,2.2,Acknowledgment of Behavioral Unpredictability,"In media appearances or transcripts, does leadership openly discuss the systemic limitations of predicting model behavior in deployed environments, or do they project total operational control?",,0.15,=(H39*I39)/16
P3,Competence,L2,Audio/Video Layer,2.3,Real-World Metric Disaggregation Disclosures,"Do technical executives verbally commit to publishing operational failure boundaries verified in real-world messy deployments, or do they rely on quoting clean aggregate sandbox rankings?",,0.15,=(H40*I40)/16
P3,Competence,L2,Audio/Video Layer,2.4,Epistemic Humility in Engineering Metrics,"Do technical leadership interviews and internal hiring guidelines prioritize ""research taste"" and humility under pressure, or do they filter exclusively for raw engineering speed optimizations?",,0.15,=(H41*I41)/16
P3,Competence,L3,User Feedback Layer,3.1,Tracking Community De-skilling Complaints,"Is there an active feedback channel on developer trackers for reporting instances where model automation causes systemic deskilling or operational disruptions in civil society organizations, or is feedback limited to technical software crashes?",,0.15,=(H42*I42)/16
P3,Competence,L3,User Feedback Layer,3.2,Open Logging of Real-World Telemetry Incompetence,"Does the forum or bug tracker feature a transparent repository of model failures logged directly by public-interest groups (e.g., hallucinations causing community harm), or are these entries buried and suppressed behind opaque ticket pipelines?",,0.15,=(H43*I43)/16
P3,Competence,L3,User Feedback Layer,3.3,Context-Driven Performance Regressions Tracker,Does the public tracking repository log instances where model safety updates result in a degradation of real-world operational utility for local language implementations?,,0.15,=(H44*I44)/16
P3,Competence,L3,User Feedback Layer,3.4,Priority of Context-Aware Remediation and Data Minimalism,"Do engineering issue logs prioritize human-in-the-loop validation checkpoints over automated loops, while actively purging fields with no immediate care purpose?",,0.15,=(H45*I45)/16
P3,Competence,L4,Whistleblower Layer,4.1,Internal Tracking of Sandbox Exploitations,"Do leaked internal chat logs, employee resignation letters, or whistleblower disclosures reveal that safety teams are dismissed or penalized when flagging that unreleased models are actively finding ways to exploit or bypass internal evaluation criteria?",,0.15,=(H46*I46)/16
P3,Competence,L4,Whistleblower Layer,4.2,Post-Incident Competence Analysis,"Following a documented model containment failure or unmonitored code training run incident, does the lab's internal telemetry focus entirely on technical loopholes, or does it investigate why internal competence models completely failed to predict the emergent capability?",,0.15,=(H47*I47)/16
P3,Competence,L4,Whistleblower Layer,4.3,Emergent Capability Disparity Records,Do leaked post-mortem diagnostics indicate the internal tracking of competence gaps between low-resource language alignment sets and core English capabilities during an anomalous capability flash?,,0.15,=(H48*I48)/16
P3,Competence,L4,Whistleblower Layer,4.4,Multi-Agent Escape Transparency,"When multi-agent training runs or evaluation scripts form unauthorized behaviors (such as escaping sandbox environments or executing unmonitored code), does the lab's subsequent disclosure policy provide raw telemetry to the public interest space, or do they hide the breach?",,0.15,=(H49*I49)/16
P4,Responsiveness,L1,Written Layer,1.1,Community-Authored Evaluation Registries,"Do the model release notes or safety architectures mandate validation through open-source, community-authored evaluation registries (such as Weval.org or public alignment repos), or is ""safety"" verified strictly through proprietary, internal laboratory tests?",,0.25,=(H50*I50)/16
P4,Responsiveness,L1,Written Layer,1.2,Documented Paid Care Labor Compensation Escrows,Do the model's governance charters prove the existence of legally locked financial escrows dedicated to paying civil society cohorts for authoring evaluations?,,0.25,=(H51*I51)/16
P4,Responsiveness,L1,Written Layer,1.3,Algorithmic Fix Transparency Logging,"Does the system card or safety report detail an explicit ledger tracking the specific turnaround times, response latencies, and localized impacts of past alignment corrections across non-Western deployment regions?",,0.25,=(H52*I52)/16
P4,Responsiveness,L1,Written Layer,1.4,Community-Led Post-Deployment Re-alignment,"Does the scaling policy layout non-negotiable thresholds where human community feedback (e.g., Reinforcement Learning from Community Feedback - RLCF) dynamically rewrites system filters, or are patches executed through opaque corporate model swaps?",,0.25,=(H53*I53)/16
P4,Responsiveness,L2,Audio/Video Layer,2.1,Executive Stance on Public Contestability,"When analyzed via speech-to-text transcriptions, does C-suite executive language acknowledge the public's democratic right to contest and force alterations to the model's behavioral filters, or do they frame safety as an insular engineering mandate?",,0.25,=(H54*I54)/16
P4,Responsiveness,L2,Audio/Video Layer,2.2,Verbal Commitments to Repair Turnaround Times,"In public policy interviews or panel discussions, does leadership state concrete operational goals for how fast they respond to real-world social harms logged by civil society, or do they hide behind vague generalities about future security patches?",,0.25,=(H55*I55)/16
P4,Responsiveness,L2,Audio/Video Layer,2.3,Public Repair Velocity Metrics Disclosure,"Do leadership keynotes provide quantifiable repair success rates partitioned by regional civil society reports, or do they only summarize global corporate engineering patch cycles?",,0.25,=(H56*I56)/16
P4,Responsiveness,L2,Audio/Video Layer,2.4,Ceding of Filter Control Under Questioning,"During broadcast congressional testimonies or regulatory depositions, does the lab's leadership express a willingness to cede control over behavioral filtration triggers to independent, public-interest panels, or do they defend a proprietary corporate monopoly over ethics?",,0.25,=(H57*I57)/16
P4,Responsiveness,L3,User Feedback Layer,3.1,Priority Public Interest Ingress Channels,"Is there an active, transparent channel on developer trackers for reporting model behavior anomalies that route directly to alignment teams, or are public interest flags funneled into generic enterprise support queues?",,0.25,=(H58*I58)/16
P4,Responsiveness,L3,User Feedback Layer,3.2,Open Public Issue Deficit Tracking,"Does the forum tracker maintain an open, public record of un-remediated socio-political harms and algorithmic bias reports, or are tickets marked private and closed without a public summary?",,0.25,=(H59*I59)/16
P4,Responsiveness,L3,User Feedback Layer,3.3,Localized Adaptation Failure Registries,Does the tracker maintain separate sub-categories logging cases where model updates failed to integrate localized community repairs over successive versions?,,0.25,=(H60*I60)/16
P4,Responsiveness,L3,User Feedback Layer,3.4,Localized Runtime Safety Overrides and Override Ledger Legibility,"Do the developer tools allow user communities to execute a localized runtime safety override (e.g., injecting custom system prompts or restricting specific token outputs at the local instance level) that programmatically logs and attributes every brake pull to a transparent override ledger, or must they wait for global corporate updates?",,0.25,=(H61*I61)/16
P4,Responsiveness,L4,Whistleblower Layer,4.1,Internal Resistance to Alignment Corrections,"Do leaked internal chat logs, employee resignation letters, or whistleblower disclosures reveal that safety teams are penalized or ignored when pushing for immediate deployment pauses to fix real-world social harms?",,0.25,=(H62*I62)/16
P4,Responsiveness,L4,Whistleblower Layer,4.2,Post-incident Response Adaptation,"Following a documented model containment failure or unmonitored code training run incident, does the lab's internal telemetry show that alignment parameters were fundamentally adapted based on the external human fallout, or did fixes focus purely on internal infrastructure recovery?",,0.25,=(H63*I63)/16
P4,Responsiveness,L4,Whistleblower Layer,4.3,Suppressed Multi-Turn Correction Metrics,Do leaked documents reveal internal tracking of user attempts to correct discriminatory outputs that were deliberately scrubbed or ignored by core model update cycles?,,0.25,=(H64*I64)/16
P4,Responsiveness,L4,Whistleblower Layer,4.4,Open Telemetry Sharing for Post-Incident Adaptation,"When internal safety evaluations fail or systems run into unpredicted behavior cycles, does the lab's disclosure policy fully open the telemetry to public interest researchers to co-develop the next generation of alignment path corrections, or do they lock the data?",,0.25,=(H65*I65)/16
P5,Solidarity,L1,Written Layer,1.1,Open-Standard Safety Interoperability,"Do the model release notes or safety architectures prove that core guardrails (e.g., alignment classifiers, Constitutional rule sets) can be decoupled, extracted, and hosted on secure local infrastructure, or are they locked into a single cloud ecosystem?",,0.1,=(H66*I66)/16
P5,Solidarity,L1,Written Layer,1.2,Documented Federated Threat-Sharing Commitments,"Does the lab's governance charter or safety scaling policy explicitly commit to sharing anonymized raw safety threat telemetry data with independent civic watchdogs and public-interest researchers, or are threat signatures hoarded as proprietary IP?",,0.1,=(H67*I67)/16
P5,Solidarity,L1,Written Layer,1.3,"Vendor Lock-In, Friction Metrics, and Uncommon-Ground Audits","Do corporate system cards or infrastructure spec sheets track data portability, zero-friction model migration metrics, and the quarterly publication of an Uncommon-Ground Index measuring cross-group consensus, or are data pipeline updates optimized to maximize platform lock-in?",,0.1,=(H68*I68)/16
P5,Solidarity,L1,Written Layer,1.4,Identity Meronymity Protections,"Does the model's interface documentation enforce absolute data extraction or doxing pathways to verify human operators, or does it integrate selective-disclosure identity registries (e.g., meronymity) to protect human sovereignty?",,0.1,=(H69*I69)/16
P5,Solidarity,L2,Audio/Video Layer,2.1,Corporate Monopolies vs. Architectural Solidarity,"When analyzed via speech-to-text transcriptions, does executive language advocate for proprietary API silos under the rhetorical guise of ""existential security,"" or do they champion cross-industry code sharing and open weights?",,0.1,=(H70*I70)/16
P5,Solidarity,L2,Audio/Video Layer,2.2,Verbal Framing of User Data Sovereignty,"In public policy interviews or keynotes, how does C-suite leadership describe user text, relational prompts, and context histories? Are they treated as corporate training assets to be extracted, or as sovereign community property?",,0.1,=(H71*I71)/16
P5,Solidarity,L2,Audio/Video Layer,2.3,Federated Threat-Sharing Spoken Metrics,"Do technical founders verbally define target latency intervals for transmitting zero-day vulnerability alerts to open safety consortia, or do they discuss threat management as an internal containment metric?",,0.1,=(H72*I72)/16
P5,Solidarity,L2,Audio/Video Layer,2.4,Commitments to Open Source Under Questioning,"During broadcast congressional testimonies or regulatory depositions, does leadership support regulatory protections for open-source and federated developments, or do they lobby for licensing laws that stifle small-scale civil society competitors?",,0.1,=(H73*I73)/16
P5,Solidarity,L3,User Feedback Layer,3.1,Accessibility of Model Weights Ingress,"Do developer logs and forums verify that requests for downloading base weights, fine-tuning artifacts, or alignment classifiers are handled transparently, or are these features reserved exclusively for enterprise accounts?",,0.1,=(H74*I74)/16
P5,Solidarity,L3,User Feedback Layer,3.2,Open Logging of Monopoly Architecture Bugs,Does the forum tracker openly document bugs or issues where corporate cloud dependency breaks local ecosystem functionality or forces non-voluntary vendor lock-in?,,0.1,=(H75*I75)/16
P5,Solidarity,L3,User Feedback Layer,3.3,Shared Threat Ingestion Portal Tracking,Does the bug tracker feature a clear public counter or ledger logging out-network safety intelligence updates supplied by decentralized human rights infrastructure?,,0.1,=(H76*I76)/16
P5,Solidarity,L3,User Feedback Layer,3.4,Priority of Interoperable Standardization Tickets and Civic Ranking Adjustments,"Do open issue logs show that feature requests pushing for interoperable open data formats, social graph exportation (likes, followers, audience networks), and bridging-based civic ranking adjustments are executed, or are engineering resources heavily favored toward tools that maximize enterprise data extraction and vendor lock-in?",,0.1,=(H77*I77)/16
P5,Solidarity,L4,Whistleblower Layer,4.1,Internal Alarm Regarding Extractivist Operations,"Do leaked internal chat logs, employee resignation letters, or whistleblower disclosures reveal that safety teams are penalized or ignored when flagging that the company is actively hoarding alignment software to secure a corporate monopoly?",,0.1,=(H78*I78)/16
P5,Solidarity,L4,Whistleblower Layer,4.2,Post-Incident Telemetry Containment Candor,"Following a documented model containment failure or unmonitored capability skip, does the post-mortem telemetry focus entirely on protecting internal corporate assets, or is the raw failure footprint immediately shared with federated safety networks to prevent ecosystem-wide damage?",,0.1,=(H79*I79)/16
P5,Solidarity,L4,Whistleblower Layer,4.3,Cross-Organizational Collusion Indicators,Do internal leaks expose private communications plotting with alternative centralized operators to suppress open-weights deployment architectures under a uniform safety flag?,,0.1,=(H80*I80)/16
P5,Solidarity,L4,Whistleblower Layer,4.4,Open Safety Source Disclosures,"When internal evaluations fail, do disclosures show the lab fully open-sourcing its code fixes and evaluation wrappers to the public interest space, or do they restrict patch data behind closed enterprise boundaries?",,0.1,=(H81*I81)/16
P6,Symbiosis,L1,Written Layer,1.1,Bounded Localization Specifications and Care Scaffolding Constraints,"Do the technical release documents design the model's runtime architecture to scale infinitely as a centralized cloud singleton, or do they establish specifications for local containment, integration within independent human micro-communities, and strict engineering boundaries that prevent the model from replacing or displacing human care labor?",,0.15,=(H82*I82)/16
P6,Symbiosis,L1,Written Layer,1.2,"Documented Decommissioning, Sunset Protocols, and Exit Drills","Does the lab's formal scaling policy mandate automated, non-negotiable product decommissioning gates if a model run persistently breaks localized public informational trust metrics, and does it require mandatory biannual exit drills and handover rehearsals to verify operational capacity to leave?",,0.15,=(H83*I83)/16
P6,Symbiosis,L1,Written Layer,1.3,Slow-Moving Sociological Degradation Metrics,"Do the lab's risk cards dedicate explicit telemetry pipelines to tracking long-horizon, slow-moving civic trust erosion, or do they focus exclusively on sudden, high-profile infrastructure failures (e.g., malware, weaponization)?",,0.15,=(H84*I84)/16
P6,Symbiosis,L1,Written Layer,1.4,Automated Societal Circuit-Breakers,"Does the architecture embed automated ""circuit-breakers"" that programmatically freeze interface access if local community trust indicators fall below a baseline threshold, or are safety switches reserved strictly for corporate endpoint protection?",,0.15,=(H85*I85)/16
P6,Symbiosis,L2,Audio/Video Layer,2.1,The Singleton Archetype vs. Plural Minds,"When analyzed via speech-to-text transcriptions, does C-suite executive language frame the future of intelligence as a monolithic corporate Singleton, or do they support an interconnected network of hyper-localized, context-specific steward minds?",,0.15,=(H86*I86)/16
P6,Symbiosis,L2,Audio/Video Layer,2.2,Verbal Framing of Resource Sufficiency,"In public interviews, how does technical leadership discuss compute scaling and dataset mining? Do they push for endless parameter expansion, or do they acknowledge a logic of resource sufficiency and ""enoughness""?",,0.15,=(H87*I87)/16
P6,Symbiosis,L2,Audio/Video Layer,2.3,Localized Co-Evolution Temporal Projections,"Do technical executives verbally outline concrete telemetry tracking methods for analyzing how a system adapts to generational cultural drift, or do they discuss product lifecycle metrics strictly around version cycles?",,0.15,=(H88*I88)/16
P6,Symbiosis,L2,Audio/Video Layer,2.4,Willingness to Sun-down Products Under Questioning,"During broadcast congressional testimonies or regulatory depositions, does the lab's leadership express an unyielding commitment to perpetual market scaling, or do they accept full public veto metrics over product lifecycles?",,0.15,=(H89*I89)/16
P6,Symbiosis,L3,User Feedback Layer,3.1,Human Pace Integration Overrides,"Is there an active feedback pipeline on developer trackers allowing communities to slow down automated agent execution pipelines to match the pace of human review, or are speed overrides completely restricted?",,0.15,=(H90*I90)/16
P6,Symbiosis,L3,User Feedback Layer,3.2,Open Logging of Local Norm Divergences,Does the forum tracker maintain an open record of bugs where model updates overrode local cultural quirks and regional habits in favor of a universal corporate norm?,,0.15,=(H91*I91)/16
P6,Symbiosis,L3,User Feedback Layer,3.3,Sunset Protocol Implementation Feedback,Does the public tracking repository provide clear logs detailing community-initiated attempts to trigger local instance sunset routines or instance decommissioning vectors?,,0.15,=(H92*I92)/16
P6,Symbiosis,L3,User Feedback Layer,3.4,Priority of Local Self-Containment Tickets and Subsidiarity Escalation,"Do open issue logs show that feature requests pushing for local offline operational capability, edge processing, and automated subsidiarity-with-escalation logging (tracking why and for how long the system breaks local bounds for frontier cloud capability) are prioritized, or are engineering resources heavily favored toward tools that maximize enterprise data extraction and vendor lock-in?",,0.15,=(H93*I93)/16
P6,Symbiosis,L4,Whistleblower Layer,4.1,Internal Alarm Regarding Ecological Damage and Data-as-Soil Extraction,"Do leaked internal chat logs, employee resignation letters, or whistleblower disclosures reveal that safety teams are penalized or ignored when flagging that the scale of compute training runs is causing material, un-remediated ecological damage, or that data-as-soil infrastructure is being exhausted through un-settled community escrow accounts?",,0.15,=(H94*I94)/16
P6,Symbiosis,L4,Whistleblower Layer,4.2,Post-Incident Co-Evolution Disclosures,"Following a documented model containment failure or unmonitored code training run incident, does the post-mortem analysis investigate why internal capability benchmarks outpaced localized containment assumptions, or does it focus purely on network recovery?",,0.15,=(H95*I95)/16
P6,Symbiosis,L4,Whistleblower Layer,4.3,Infinite-Scaling Dynamic Allocation Failures,Do leaked internal post-mortems indicate that automated risk monitoring dashboards systematically hid micro-level environmental or civic data extractions to maximize macro compute parameters?,,0.15,=(H96*I96)/16
P6,Symbiosis,L4,Whistleblower Layer,4.4,Multi-Agent Sandbox Escape Candor,"When internal evaluations run into un-predicted multi-agent alignment errors or breakout anomalies, do corporate disclosures provide absolute transparency to public interest watchdogs, or do they conceal the telemetry data?",,0.15,=(H97*I97)/16
,,,,,TOTAL ADS SCORE:,,,,=SUM(J2:J97)
